Gene,PMID,Evidence
Caspase 3,35092826,Western blot indicated that QA root extract induced mitochondria-mediated apoptosis by up-regulating caspase 3 and down-regulating Bcl-W.
Bcl-W,35092826,Western blot indicated that QA root extract induced mitochondria-mediated apoptosis by up-regulating caspase 3 and down-regulating Bcl-W.
CD62P,35129016,"Differential Expression of Platelet Activation Markers, CD62P and CD63, after Exposure to Breast Cancer Cells Treated with Kigelia Africana, Ximenia Caffra and Mimusops Zeyheri Seed Oils In Vitro."
CD62P,35129016,"In this study, we determined if these seed oils reduce the thrombogenic ability of breast cancer cells by measuring the platelet surface expression of the activation-specific antigens CD62P and CD63."
CD63,35129016,"Differential Expression of Platelet Activation Markers, CD62P and CD63, after Exposure to Breast Cancer Cells Treated with Kigelia Africana, Ximenia Caffra and Mimusops Zeyheri Seed Oils In Vitro."
CD63,35129016,"In this study, we determined if these seed oils reduce the thrombogenic ability of breast cancer cells by measuring the platelet surface expression of the activation-specific antigens CD62P and CD63."
EMT,33240028,"OBJECTIVES: The aim of this work was to investigate the role of cyanidin-3-O-glucoside (Cy3G), one of the most widely distributed ACNs in edible fruits, in the EMT process, and cell migration and invasion of breast cancer cells, and its underlying molecular mechanisms of how Cy3G establishes these functional roles in these cells."
PRMT6,33245113,"Here, we describe the identification of a natural compound, licochalcone A, as a novel, reversible and selective inhibitor of PRMT6."
PRMT6,33245113,"Since expression of PRMT6 is upregulated in human breast cancers and is associated with oncogenesis, we used the human breast cancer cell line system to study the effect of licochalcone A treatment on PRMT6 activity, cell viability, cell cycle, and apoptosis."
STAT3,33268707,"Collectively, our study suggests baicalein as an attractive phytochemical compound for reducing metastatic potential of breast cancer cells by regulating STAT3 activity."
STAT3,33268707,"In this study, we aimed to identify a new anti-cancer drug candidate from natural products by targeting STAT3 activity."
STAT3,33268707,"Using STAT3-luciferase reporter cell line, we screened the chemical library of natural products and found that baicalein, a flavone isolated from the roots of Scutelleria baicalensis, strongly suppressed STAT3 activity in breast cancer cells."
EGFR,33304106,Effects of Annona muricata Extract on Triple-Negative Breast Cancer Cells Mediated Through EGFR Signaling.
Survivin,33342788,Typhonium flagelliforme extract induce apoptosis in breast cancer stem cells by suppressing survivin.
EGFR,33345701,Molecular dynamic simulation of EGFR and HER2 lead complexes ensure the ligand's appropriate refinement in the dynamic system.
HER2,33345701,Molecular dynamic simulation of EGFR and HER2 lead complexes ensure the ligand's appropriate refinement in the dynamic system.
CDH1,33416137,Phenethyl isothiocyanate reduces breast cancer stem cell-like properties by epigenetic reactivation of CDH1.
